nr,id,ed1,ed2,prod1,prod2,ET,PT,active,reverse,Tafel,alkaline,acidic,dG,dG_lit,dG_min,dG_max,dG_given,A,E_act,beta,tafelA,tafelK,tafelE,tafelDE,acidA,acidK,acidE,acidDE,acidB,acidDB,alkaA,alkaK,alkaE,alkaDE,alkaB,alkaDB
78,D47A,**OHCH2CH2,,C2H4,*OH,0,0,True,True,False,False,False,-0.6499999999999999,-0.65,-0.85,-0.45,True,6000000000000000.0,0.39,,,,,,,,,,,,,,,,,
79,CD35A,*CH2,*CH2,C2H4,,0,0,True,True,False,False,False,-1.682,-1.56,-1.76,-1.36,False,6000000000000000.0,0.46,,,,,,,,,,,,,,,,,
80,H92A,*O,,*OH,,1,1,True,True,True,True,True,-0.06199999999999971,,,,False,6210000000000.0,0.3,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
81,HD93A,*OH,,H2O,,1,1,True,False,True,True,True,-0.05200000000000049,,,,False,6210000000000.0,0.3,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
82,H53Aii,*OCHCH2,,**CHOHCH2,,1,1,True,True,True,True,True,0.19999999999999987,0.12,-0.08,0.32,True,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
83,H54B,**CHOHCH2,,*CH2CH2OH,,1,1,True,True,True,True,True,0.050000000000000044,-0.03,-0.23,0.17,True,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
84,HD47Aii,*CH2CH2OH,,CH3CH2OH,,1,1,True,True,True,True,True,-0.642,-0.82,-1.02,-0.62,False,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
85,HD47Ai,**OHCH2CH2,,CH3CH2OH,,1,1,True,True,True,True,True,-0.882,-0.54,-1.0,0.0,False,6210000000000.0,0.75,0.52,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
86,H53Ai,**OCHCH2,,**OHCHCH2,,1,1,True,True,True,True,True,0.3900000000000001,0.44,0.24,0.64,True,6210000000000.0,0.895,0.49,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
87,H54A,**OHCHCH2,,**CHCH2,H2O,1,1,True,True,True,True,True,0.05999999999999983,0.11,-0.09,0.31,True,6210000000000.0,1.099,0.53,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
88,HD55A,**CHCH2,,C2H4,,1,1,True,True,True,True,True,-1.0619999999999998,-0.96,-1.16,-0.76,False,6210000000000.0,0.495,0.47,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
